"","","m_true_new"
"169",-0.32,6.17606095414305e-08
"170",-0.31,6.49271434998772e-08
"171",-0.3,6.82560291044629e-08
"172",-0.29,7.17555902998094e-08
"173",-0.28,7.54345778080664e-08
"174",-0.27,7.93021910102383e-08
"175",-0.26,8.33681009493872e-08
"176",-0.25,8.76424745132323e-08
"177",-0.24,9.21359998566178e-08
"178",-0.23,9.68599131274103e-08
"179",-0.22,1.01826026562659e-07
"180",-0.21,1.07046758025278e-07
"181",-0.2,1.12535162055095e-07
"182",-0.19,1.18304962511917e-07
"183",-0.18,1.24370586892242e-07
"184",-0.17,1.30747202405412e-07
"185",-0.16,1.37450753899427e-07
"186",-0.15,1.44498003731248e-07
"187",-0.14,1.51906573681286e-07
"188",-0.13,1.5969498901688e-07
"189",-0.12,1.67882724814952e-07
"190",-0.11,1.76490254659664e-07
"191",-0.0999999999999999,1.85539101836833e-07
"192",-0.0899999999999999,1.95051893153142e-07
"193",-0.0800000000000001,2.05052415514691e-07
"194",-0.0700000000000001,2.15565675406383e-07
"195",-0.0600000000000001,2.26617961420859e-07
"196",-0.05,2.38236909993343e-07
"197",-0.04,2.50451574506755e-07
"198",-0.03,2.63292497939898e-07
"199",-0.02,2.76791789240365e-07
"200",-0.01,2.90983203613136e-07
"201",0,3.05902226925625e-07
"202",0.0100000000000002,3.2158616444023e-07
"203",0.02,3.38074234096247e-07
"204",0.0300000000000002,3.55407664574411e-07
"205",0.04,3.73629798389248e-07
"206",0.0499999999999998,3.92786200267044e-07
"207",0.0600000000000001,4.1292477108039e-07
"208",0.0699999999999998,4.34095867624211e-07
"209",0.0800000000000001,4.56352428532765e-07
"210",0.0899999999999999,4.79750106652457e-07
"211",0.1,5.04347408201452e-07
"212",0.11,5.30205839064047e-07
"213",0.12,5.5739005858561e-07
"214",0.13,5.85968041252595e-07
"215",0.14,6.16011246661964e-07
"216",0.15,6.47594798204927e-07
"217",0.16,6.8079767091185e-07
"218",0.17,7.1570288892796e-07
"219",0.18,7.52397733113647e-07
"220",0.19,7.90973959288403e-07
"221",0.2,8.31528027664132e-07
"222",0.21,8.74161344041436e-07
"223",0.22,9.18980513371999e-07
"224",0.23,9.66097606321027e-07
"225",0.24,1.01563043949625e-06
"226",0.25,1.06770287004415e-06
"227",0.26,1.12244510534992e-06
"228",0.27,1.17999402861564e-06
"229",0.28,1.24049354113058e-06
"230",0.29,1.30409492208937e-06
"231",0.3,1.37095720685785e-06
"232",0.31,1.44124758463208e-06
"233",0.32,1.51514181648505e-06
"234",0.33,1.59282467484603e-06
"235",0.34,1.67449040551145e-06
"236",0.35,1.76034321334249e-06
"237",0.36,1.85059777286345e-06
"238",0.37,1.94547976503784e-06
"239",0.38,2.04522644156373e-06
"240",0.39,2.15008721809965e-06
"241",0.4,2.26032429790357e-06
"242",0.41,2.37621332744475e-06
"243",0.42,2.49804408562679e-06
"244",0.43,2.62612120834559e-06
"245",0.44,2.76076495019305e-06
"246",0.45,2.9023119852111e-06
"247",0.46,3.05111624869766e-06
"248",0.47,3.207549822169e-06
"249",0.48,3.37200386369079e-06
"250",0.49,3.54488958590344e-06
"251",0.5,3.72663928418656e-06
"252",0.51,3.91770741753279e-06
"253",0.52,4.11857174483263e-06
"254",0.53,4.32973451941081e-06
"255",0.54,4.55172374479988e-06
"256",0.55,4.78509449489013e-06
"257",0.56,5.03043030175513e-06
"258",0.57,5.2883446146223e-06
"259",0.58,5.5594823336345e-06
"260",0.59,5.84452142223627e-06
"261",0.6,6.14417460221472e-06
"262",0.61,6.45919113563084e-06
"263",0.62,6.79035869809514e-06
"264",0.63,7.13850534806846e-06
"265",0.64,7.50450159711001e-06
"266",0.65,7.88926258624503e-06
"267",0.66,8.29375037389161e-06
"268",0.67,8.7189763410626e-06
"269",0.68,9.16600371985333e-06
"270",0.69,9.63595025153188e-06
"271",0.7,1.01299909808739e-05
"272",0.71,1.06493611937227e-05
"273",0.72,1.11953595051133e-05
"274",0.73,1.1769351105676e-05
"275",0.74,1.23727711744276e-05
"276",0.75,1.3007128466476e-05
"277",0.76,1.36740090845997e-05
"278",0.77,1.43750804441208e-05
"279",0.78,1.51120954409752e-05
"280",0.79,1.58868968333877e-05
"281",0.8,1.67014218480952e-05
"282",0.81,1.75577070226173e-05
"283",0.82,1.8457893295667e-05
"284",0.83,1.94042313584085e-05
"285",0.84,2.03990872799214e-05
"286",0.85,2.1444948420914e-05
"287",0.86,2.25444296504454e-05
"288",0.87,2.37002798811727e-05
"289",0.88,2.49153889394299e-05
"290",0.89,2.61927947872839e-05
"291",0.9,2.75356911145835e-05
"292",0.91,2.89474353199426e-05
"293",0.92,3.04315569005653e-05
"294",0.93,3.19917662718363e-05
"295",0.94,3.36319640386712e-05
"296",0.95,3.53562507417443e-05
"297",0.96,3.71689371028895e-05
"298",0.97,3.90745547952135e-05
"299",0.98,4.10778677647633e-05
"300",0.99,4.31838841319578e-05
"301",1,4.53978687024344e-05
"302",1.01,4.77253561184756e-05
"303",1.02,5.01721646837642e-05
"304",1.03,5.27444108958919e-05
"305",1.04,5.54485247227949e-05
"306",1.05,5.82912656611387e-05
"307",1.06,6.12797396166025e-05
"308",1.07,6.44214166480588e-05
"309",1.08,6.77241496197702e-05
"310",1.09,7.1196193807978e-05
"311",1.1,7.48462275106112e-05
"312",1.11,7.86833737113231e-05
"313",1.12,8.27172228516665e-05
"314",1.13,8.69578567679454e-05
"315",1.14,9.14158738521616e-05
"316",1.15,9.6102415499474e-05
"317",1.16,0.000101029193907773
"318",1.17,0.000106208521298276
"319",1.18,0.000111653340629563
"320",1.19,0.000117377257881105
"321",1.2,0.000123394575986232
"322",1.21,0.000129720330498475
"323",1.22,0.000136370327079497
"324",1.23,0.000143361180901261
"325",1.24,0.000150710358059758
"326",1.25,0.000158436219102526
"327",1.26,0.000166558064777336
"328",1.27,0.00017509618411481
"329",1.28,0.000184071904963424
"330",1.29,0.00019350764710127
"331",1.3,0.000203426978055207
"332",1.31,0.000213854671764543
"333",1.32,0.000224816770233296
"334",1.33,0.000236340648322214
"335",1.34,0.000248455081839334
"336",1.35,0.000261190319095719
"337",1.36,0.000274578156101332
"338",1.37,0.000288652015584676
"339",1.38,0.000303447030028919
"340",1.39,0.000319000128926792
"341",1.4,0.000335350130466478
"342",1.41,0.000352537837871239
"343",1.42,0.000370606140626397
"344",1.43,0.000389600120838826
"345",1.44,0.00040956716498605
"346",1.45,0.000430557081324615
"347",1.46,0.000452622223240535
"348",1.47,0.000475817618838337
"349",1.48,0.000500201107079564
"350",1.49,0.00052583348079664
"351",1.5,0.0005527786369236
"352",1.51,0.000581103734301632
"353",1.52,0.000610879359434401
"354",1.53,0.000642179700585986
"355",1.54,0.000675082730632838
"356",1.55,0.000709670399100589
"357",1.56,0.000746028833836698
"358",1.57,0.000784248552791027
"359",1.58,0.000824424686398295
"360",1.59,0.000866657211079197
"361",1.6,0.000911051194400645
"362",1.61,0.000957717052460238
"363",1.62,0.00100677082008564
"364",1.63,0.00105833443446601
"365",1.64,0.00111253603286032
"366",1.65,0.00116951026505551
"367",1.66,0.00122939862127742
"368",1.67,0.00129234977628734
"369",1.68,0.00135851995042896
"370",1.69,0.00142807328842257
"371",1.7,0.00150118225673699
"372",1.71,0.00157802806040386
"373",1.72,0.00165880108017442
"374",1.73,0.00174370133095478
"375",1.74,0.00183293894249281
"376",1.75,0.00192673466332748
"377",1.76,0.00202532038904988
"378",1.77,0.00212893971596419
"379",1.78,0.00223784852127634
"380",1.79,0.00235231557097815
"381",1.8,0.00247262315663478
"382",1.81,0.00259906776232335
"383",1.82,0.00273196076301106
"384",1.83,0.0028716291557004
"385",1.84,0.00301841632470842
"386",1.85,0.00317268284248519
"387",1.86,0.00333480730741334
"388",1.87,0.00350518722006634
"389",1.88,0.00368423989943599
"390",1.89,0.00387240344067104
"391",1.9,0.00407013771589613
"392",1.91,0.00427792541970498
"393",1.92,0.00449627316094118
"394",1.93,0.00472571260239548
"395",1.94,0.00496680165005696
"396",1.95,0.0052201256935584
"397",1.96,0.0054862988994504
"398",1.97,0.00576596555892491
"399",1.98,0.00605980149158412
"400",1.99,0.00636851550681555
"401",2,0.00669285092428486
"402",2.01,0.00703358715499515
"403",2.02,0.00739154134428199
"404",2.03,0.00776757007801501
"405",2.04,0.0081625711531599
"406",2.05,0.00857748541371198
"407",2.06,0.00901329865284785
"408",2.07,0.00947104358194612
"409",2.08,0.00995180186690432
"410",2.09,0.0104567062319181
"411",2.1,0.0109869426305932
"412",2.11,0.0115437524839223
"413",2.12,0.0121284349842742
"414",2.13,0.0127423494641116
"415",2.14,0.0133869178276648
"416",2.15,0.0140636270432455
"417",2.16,0.0147740316932731
"418",2.17,0.0155197565784089
"419",2.18,0.0163024993714409
"420",2.19,0.0171240333157278
"421",2.2,0.0179862099620916
"422",2.21,0.018890961937039
"423",2.22,0.0198403057340775
"424",2.23,0.0208363445186805
"425",2.24,0.0218812709361305
"426",2.25,0.0229773699100256
"427",2.26,0.0241270214176692
"428",2.27,0.0253327032268718
"429",2.28,0.0265969935768659
"430",2.29,0.027922573784073
"431",2.3,0.0293122307513563
"432",2.31,0.0307688593571481
"433",2.32,0.0322954646984506
"434",2.33,0.0338951641591782
"435",2.34,0.0355711892726361
"436",2.35,0.0373268873441296
"437",2.36,0.0391657227967644
"438",2.37,0.041091278200465
"439",2.38,0.0431072549410861
"440",2.39,0.0452174734832874
"441",2.4,0.0474258731775669
"442",2.41,0.0497365115585568
"443",2.42,0.0521535630784177
"444",2.43,0.0546813172159407
"445",2.44,0.0573241758988689
"446",2.45,0.0600866501740077
"447",2.46,0.0629733560569965
"448",2.47,0.0659890094912187
"449",2.48,0.069138420343347
"450",2.49,0.0724264853615178
"451",2.5,0.0758581800212435
"452",2.51,0.0794385491839783
"453",2.52,0.0831726964939225
"454",2.53,0.0870657724402714
"455",2.54,0.0911229610148562
"456",2.55,0.0953494648991094
"457",2.56,0.0997504891196854
"458",2.57,0.104331223119001
"459",2.58,0.109096821195613
"460",2.59,0.114052381279791
"461",2.6,0.119202922022118
"462",2.61,0.124553358187417
"463",2.62,0.130108474362998
"464",2.63,0.135872897009094
"465",2.64,0.141851064900488
"466",2.65,0.14804719803169
"467",2.66,0.154465265083535
"468",2.67,0.161108949576585
"469",2.68,0.167981614866075
"470",2.69,0.17508626816404
"471",2.7,0.182425523806356
"472",2.71,0.190001566015313
"473",2.72,0.197816111441418
"474",2.73,0.205870371800948
"475",2.74,0.214165016957442
"476",2.75,0.222700138825309
"477",2.76,0.231475216500982
"478",2.77,0.240489083050889
"479",2.78,0.249739894404883
"480",2.79,0.259225100817846
"481",2.8,0.268941421369995
"482",2.81,0.278884821977137
"483",2.82,0.289050497374996
"484",2.83,0.299432857526027
"485",2.84,0.310025518872387
"486",2.85,0.320821300824608
"487",2.86,0.331812227831834
"488",2.87,0.342989537326501
"489",2.88,0.354343693774204
"490",2.89,0.365864408989199
"491",2.9,0.377540668798146
"492",2.91,0.389360766050778
"493",2.92,0.401312339887548
"494",2.93,0.41338242108267
"495",2.94,0.425557483188341
"496",2.95,0.437823499114202
"497",2.96,0.450166002687522
"498",2.97,0.46257015465625
"499",2.98,0.475020812521061
"500",2.99,0.48750260351579
"501",3,0.5
"502",3.01,0.51249739648421
"503",3.02,0.524979187478941
"504",3.03,0.53742984534375
"505",3.04,0.549833997312478
"506",3.05,0.562176500885798
"507",3.06,0.57444251681166
"508",3.07,0.58661757891733
"509",3.08,0.598687660112452
"510",3.09,0.610639233949222
"511",3.1,0.622459331201855
"512",3.11,0.634135591010801
"513",3.12,0.645656306225796
"514",3.13,0.657010462673499
"515",3.14,0.668187772168166
"516",3.15,0.679178699175393
"517",3.16,0.689974481127613
"518",3.17,0.700567142473973
"519",3.18,0.710949502625004
"520",3.19,0.721115178022864
"521",3.2,0.731058578630005
"522",3.21,0.740774899182154
"523",3.22,0.750260105595117
