1.4606e-11,3.4768e-11,8.3863e-11,1.9584e-10,4.8185e-10,1.0601e-09,2.5542e-09,5.3784e-09,1.2089e-08,2.6764e-08,5.8894e-08,1.3312e-07,2.7816e-07,5.5068e-07,1.135e-06,2.156e-06,3.8195e-06,6.0687e-06,9.9575e-06,1.6247e-05,2.6711e-05,4.1676e-05,7.0604e-05,0.00012186,0.00022079,0.00039471,0.00074456,0.0014254,0.0026023,0.0048576,0.0087808,0.015489,0.025934,0.041702,0.062637,0.088448,0.11697,0.14435,0.17361,0.1997,0.22606,0.2556,0.29053,0.33776,0.3925,0.46096,0.54415,0.63975,0.74538,0.85748,0.97088,1.0847,1.1955,1.2967,1.3827,1.4561,1.5135,1.5542,1.5762,1.5814,1.5713,1.5332,1.4778,1.3971,1.3013,1.1987,1.0848,0.97174,0.85999,0.76008,0.67714,0.61342,0.56795,0.53629,0.50679,0.48754,0.47379,0.45223,0.41765,0.37066,0.31433,0.24986,0.18739,0.13448,0.089672,0.057325,0.034977,0.020376,0.011295,0.0060445,0.003184,0.0016151,0.00081417,0.00041421,0.00021086,0.00010777,5.2392e-05,2.5612e-05,1.2538e-05,6.0009e-06,3.0451e-06,1.5044e-06,8.1492e-07,4.2698e-07,2.1632e-07,1.154e-07,6.0818e-08,3.3019e-08,1.8028e-08,9.3697e-09,4.8962e-09,2.6087e-09,1.1781e-09,5.5547e-10,2.6606e-10,1.1499e-10,5.1608e-11,2.3175e-11,1.0465e-11,4.2679e-12,1.7013e-12
1.9217e-11,4.9007e-11,1.0842e-10,2.8749e-10,6.7907e-10,1.4925e-09,3.4774e-09,7.0986e-09,1.5329e-08,3.3197e-08,7.93e-08,1.7748e-07,3.7568e-07,7.3863e-07,1.4985e-06,2.7505e-06,4.8357e-06,7.9495e-06,1.3021e-05,2.0705e-05,3.2603e-05,5.1975e-05,8.4112e-05,0.00015163,0.00028049,0.0005341,0.0010331,0.0019807,0.0037792,0.007171,0.013259,0.023588,0.039264,0.061169,0.090297,0.1242,0.1581,0.18744,0.21421,0.23479,0.25384,0.27642,0.30852,0.34962,0.40388,0.46875,0.54145,0.63372,0.73392,0.84011,0.94897,1.052,1.1534,1.2502,1.3342,1.4026,1.4579,1.4899,1.5019,1.5068,1.485,1.4453,1.3854,1.2969,1.1998,1.0946,0.99015,0.88465,0.78411,0.69625,0.62196,0.57189,0.53626,0.51803,0.50855,0.51392,0.5203,0.51958,0.51245,0.47612,0.42276,0.35387,0.27799,0.2043,0.14408,0.093542,0.057965,0.033706,0.018846,0.010338,0.0053908,0.0026201,0.0012893,0.00063156,0.00030203,0.0001471,7.3082e-05,3.2843e-05,1.4867e-05,6.8894e-06,3.1022e-06,1.4841e-06,7.5101e-07,3.8895e-07,2.0148e-07,1.1115e-07,6.6793e-08,3.7996e-08,2.169e-08,1.1684e-08,5.7956e-09,2.9856e-09,1.4104e-09,6.7357e-10,3.0461e-10,1.3907e-10,6.134e-11,2.7861e-11,1.1828e-11,4.4431e-12,1.7104e-12
2.57e-11,5.8758e-11,1.4473e-10,3.4588e-10,7.6868e-10,1.7834e-09,4.2479e-09,9.1338e-09,2.0699e-08,4.5929e-08,1.0426e-07,2.3078e-07,4.8829e-07,9.9503e-07,1.9753e-06,3.6735e-06,6.4511e-06,1.0743e-05,1.6598e-05,2.5721e-05,3.9499e-05,6.0301e-05,0.000105,0.00019377,0.00037612,0.00071031,0.001458,0.0028732,0.0058559,0.01116,0.020541,0.035179,0.058921,0.090891,0.129,0.17015,0.20915,0.23731,0.25629,0.26746,0.27774,0.29136,0.31476,0.35201,0.39796,0.44919,0.51782,0.60258,0.69803,0.79433,0.89128,0.98934,1.0809,1.1739,1.2538,1.3222,1.3661,1.3908,1.4026,1.3933,1.3663,1.3216,1.2504,1.1656,1.0707,0.97463,0.87643,0.77707,0.68872,0.60928,0.54915,0.50858,0.48947,0.48583,0.49862,0.51748,0.54899,0.58224,0.60421,0.60467,0.56616,0.50261,0.41594,0.31867,0.23184,0.15832,0.098986,0.058564,0.032831,0.017668,0.0090845,0.004526,0.0021891,0.0010503,0.00048274,0.00023393,0.00010452,4.6591e-05,2.1244e-05,9.2413e-06,3.8437e-06,1.739e-06,7.9852e-07,3.9814e-07,2.0771e-07,1.3289e-07,8.1254e-08,4.7611e-08,2.8164e-08,1.4952e-08,7.791e-09,3.6257e-09,1.7455e-09,8.1563e-10,3.8814e-10,1.7018e-10,7.0175e-11,3.2263e-11,1.2755e-11,5.0451e-12,1.7762e-12
3.1991e-11,7.8212e-11,2.1537e-10,4.903e-10,1.0364e-09,2.4626e-09,5.8002e-09,1.2414e-08,2.7142e-08,6.1547e-08,1.3608e-07,2.933e-07,6.062e-07,1.2583e-06,2.4346e-06,4.5294e-06,8.239e-06,1.314e-05,2.0615e-05,3.2281e-05,4.9688e-05,7.7227e-05,0.00014158,0.00025262,0.00050785,0.001025,0.002193,0.0044973,0.0089268,0.016898,0.031424,0.055336,0.090556,0.13451,0.18721,0.23626,0.27218,0.29246,0.29714,0.29504,0.29296,0.29715,0.3121,0.33643,0.37103,0.41592,0.4793,0.55315,0.63451,0.72442,0.8122,0.90421,0.98966,1.0719,1.1484,1.2082,1.2458,1.2656,1.268,1.2502,1.217,1.1648,1.0987,1.0155,0.92834,0.83716,0.74674,0.6517,0.57611,0.51133,0.46187,0.43739,0.43331,0.44218,0.46337,0.50449,0.55687,0.62277,0.6835,0.72849,0.73668,0.69773,0.60474,0.48896,0.36991,0.26021,0.17349,0.10501,0.060641,0.032449,0.016683,0.0082651,0.0039434,0.0018453,0.00085887,0.00038826,0.00016463,6.9907e-05,3.088e-05,1.2928e-05,5.392e-06,2.258e-06,1.0026e-06,4.7822e-07,2.5939e-07,1.6509e-07,1.037e-07,6.5235e-08,3.8356e-08,2.0693e-08,1.0039e-08,4.5987e-09,2.148e-09,1.0185e-09,4.5636e-10,2.0802e-10,8.6016e-11,3.6261e-11,1.4084e-11,5.3968e-12,2.0112e-12
4.5648e-11,1.1831e-10,2.7791e-10,6.5837e-10,1.3559e-09,3.1424e-09,6.8911e-09,1.4917e-08,3.3741e-08,7.6051e-08,1.6995e-07,3.6473e-07,7.6132e-07,1.5779e-06,3.1068e-06,5.688e-06,9.8477e-06,1.6491e-05,2.4839e-05,3.8986e-05,6.1764e-05,0.00010011,0.00018234,0.00034613,0.00070853,0.0015354,0.0032887,0.0067478,0.013581,0.027144,0.050565,0.087694,0.1389,0.20132,0.26531,0.31662,0.34141,0.34845,0.33037,0.31315,0.29666,0.29036,0.29178,0.3089,0.33491,0.37284,0.42449,0.48748,0.5605,0.63673,0.71831,0.79652,0.87179,0.94123,1.0095,1.0619,1.0931,1.1091,1.1052,1.0809,1.0406,0.9896,0.92453,0.85002,0.76443,0.68258,0.60408,0.52716,0.46254,0.41107,0.37363,0.35852,0.36316,0.38373,0.41349,0.47039,0.55075,0.63978,0.74464,0.84008,0.89762,0.91546,0.84454,0.72734,0.56994,0.42614,0.29326,0.1882,0.11023,0.061991,0.032092,0.015567,0.0073855,0.0034384,0.0015317,0.00069203,0.0002868,0.0001175,4.8523e-05,1.875e-05,7.5924e-06,3.1636e-06,1.2917e-06,6.2228e-07,3.6384e-07,2.2366e-07,1.4466e-07,9.3985e-08,5.4391e-08,3.0143e-08,1.4243e-08,6.2944e-09,2.6272e-09,1.3462e-09,5.7793e-10,2.6175e-10,1.1195e-10,4.3702e-11,1.6499e-11,6.3572e-12,2.101e-12
5.7099e-11,1.3881e-10,3.4018e-10,8.4041e-10,1.7951e-09,4.015e-09,8.5383e-09,1.8977e-08,4.2304e-08,9.8425e-08,2.0777e-07,4.5789e-07,9.2303e-07,1.8874e-06,3.8619e-06,6.9774e-06,1.2002e-05,1.9913e-05,2.979e-05,4.8094e-05,7.5469e-05,0.00012809,0.00024319,0.00048305,0.0010571,0.0022993,0.0049587,0.010715,0.022589,0.044587,0.081952,0.1386,0.20951,0.29275,0.36731,0.40945,0.41752,0.39455,0.35555,0.31775,0.2864,0.27106,0.26522,0.27074,0.29059,0.32139,0.36092,0.41204,0.4733,0.5383,0.60642,0.67455,0.7443,0.80247,0.85864,0.89536,0.92464,0.92982,0.92237,0.89505,0.85436,0.8031,0.74605,0.67709,0.60805,0.53635,0.46885,0.40602,0.35456,0.31709,0.29003,0.28201,0.29213,0.31417,0.35227,0.42358,0.51186,0.6335,0.77289,0.92477,1.0537,1.1235,1.1235,1.0211,0.85084,0.65355,0.47615,0.3193,0.19793,0.11448,0.060698,0.03007,0.014469,0.0066523,0.0029392,0.0012681,0.00052837,0.00021269,8.1715e-05,3.1832e-05,1.2243e-05,5.0161e-06,1.9507e-06,8.4967e-07,4.813e-07,3.1021e-07,2.0596e-07,1.3735e-07,8.1064e-08,4.1865e-08,1.8306e-08,8.5495e-09,3.567e-09,1.513e-09,7.2906e-10,3.178e-10,1.3795e-10,5.5048e-11,1.9705e-11,7.287e-12,2.2809e-12
6.7282e-11,1.646e-10,4.3263e-10,1.0341e-09,2.2663e-09,4.5879e-09,1.0153e-08,2.3946e-08,5.202e-08,1.1534e-07,2.61e-07,5.2686e-07,1.0872e-06,2.3186e-06,4.4585e-06,8.0035e-06,1.3472e-05,2.2171e-05,3.5255e-05,5.5157e-05,9.7861e-05,0.00017212,0.00032387,0.00071081,0.0015476,0.0035205,0.0080484,0.017705,0.037363,0.073214,0.13072,0.20927,0.30879,0.41058,0.47623,0.50341,0.48386,0.4227,0.36538,0.30689,0.2657,0.24023,0.22819,0.23,0.24243,0.26575,0.29372,0.33449,0.38586,0.43853,0.49576,0.54931,0.60296,0.65427,0.69798,0.72996,0.74708,0.75146,0.7333,0.70999,0.67235,0.62861,0.57587,0.52035,0.46318,0.40385,0.35196,0.30391,0.26202,0.23312,0.21432,0.21098,0.22378,0.24706,0.28935,0.36324,0.4638,0.5963,0.76893,0.9643,1.1566,1.3164,1.3799,1.3458,1.1874,0.96366,0.72871,0.51143,0.33313,0.20097,0.11192,0.057416,0.028105,0.013007,0.0057781,0.0024401,0.0010152,0.00039711,0.00014826,5.4973e-05,2.0886e-05,7.8952e-06,3.0747e-06,1.329e-06,6.8581e-07,4.3482e-07,2.9873e-07,1.9799e-07,1.1553e-07,5.7128e-08,2.5673e-08,1.197e-08,4.8005e-09,2.0096e-09,9.2531e-10,4.0833e-10,1.719e-10,6.2217e-11,2.2126e-11,7.7842e-12,2.4333e-12
8.1212e-11,2.0591e-10,5.0811e-10,1.2183e-09,2.7868e-09,5.8766e-09,1.3011e-08,2.889e-08,6.0827e-08,1.4222e-07,3.0787e-07,6.2216e-07,1.2864e-06,2.6518e-06,5.0856e-06,9.2876e-06,1.5837e-05,2.5511e-05,4.1121e-05,6.821e-05,0.00012442,0.00023206,0.00047252,0.0010485,0.0024575,0.0057366,0.013351,0.030138,0.06182,0.11767,0.20039,0.30548,0.43307,0.54098,0.59582,0.58953,0.52819,0.43538,0.35189,0.28144,0.2321,0.20273,0.18634,0.1851,0.19311,0.20624,0.22953,0.26382,0.30241,0.34402,0.38839,0.42938,0.47506,0.51335,0.54794,0.57093,0.58349,0.58152,0.56453,0.54124,0.50849,0.47062,0.42785,0.38363,0.33837,0.29408,0.25386,0.21629,0.18691,0.16394,0.15124,0.15139,0.16309,0.18472,0.22694,0.29594,0.39717,0.53568,0.72427,0.94907,1.1916,1.4235,1.5938,1.643,1.5443,1.3133,1.0445,0.76783,0.5261,0.33449,0.19562,0.10504,0.052141,0.024848,0.01121,0.004824,0.0019833,0.0007669,0.00029092,0.00010157,3.6738e-05,1.3101e-05,5.0917e-06,2.2551e-06,1.1318e-06,6.8699e-07,4.5409e-07,2.9649e-07,1.6402e-07,7.8862e-08,3.3677e-08,1.4877e-08,6.3257e-09,2.7567e-09,1.1621e-09,4.88e-10,1.9552e-10,7.4908e-11,2.4374e-11,7.9566e-12,2.6194e-12
8.9922e-11,2.4475e-10,5.7702e-10,1.4828e-09,3.2808e-09,7.1899e-09,1.5706e-08,3.403e-08,7.3541e-08,1.5337e-07,3.4405e-07,7.38e-07,1.5007e-06,3.1995e-06,5.8608e-06,1.0594e-05,1.7994e-05,3.0137e-05,4.9449e-05,8.6938e-05,0.00016744,0.00032604,0.00069371,0.001616,0.0039393,0.0095197,0.022473,0.049095,0.099255,0.18042,0.29441,0.42877,0.57713,0.67648,0.69966,0.65329,0.54151,0.42769,0.32212,0.24668,0.1951,0.16303,0.14663,0.14298,0.14756,0.15657,0.17346,0.19797,0.22773,0.25935,0.2932,0.32609,0.35917,0.3902,0.41503,0.43089,0.43875,0.43564,0.42032,0.39737,0.37127,0.34222,0.30826,0.27227,0.23898,0.20681,0.17537,0.14871,0.12752,0.11149,0.10365,0.10304,0.1126,0.13199,0.16679,0.22893,0.3216,0.4576,0.64336,0.88886,1.1732,1.4687,1.7239,1.8749,1.8628,1.6794,1.402,1.0781,0.77467,0.51572,0.3179,0.17973,0.094547,0.046426,0.021525,0.0094556,0.0039057,0.0015291,0.00057199,0.00020143,6.988e-05,2.4104e-05,8.7484e-06,3.565e-06,1.7794e-06,1.0461e-06,7.0222e-07,4.4534e-07,2.4072e-07,1.1394e-07,4.9412e-08,2.0557e-08,7.9859e-09,3.5889e-09,1.4936e-09,5.5886e-10,2.3179e-10,8.1544e-11,2.875e-11,9.1842e-12,2.6342e-12
1.0529e-10,2.697e-10,6.9526e-10,1.6827e-09,3.6549e-09,8.6857e-09,1.9522e-08,4.1226e-08,8.8089e-08,1.8461e-07,3.9926e-07,8.8339e-07,1.7623e-06,3.4685e-06,6.6587e-06,1.178e-05,2.0531e-05,3.4639e-05,6.0264e-05,0.00011287,0.00021982,0.00044982,0.0010513,0.0026066,0.006491,0.015677,0.037246,0.079482,0.15478,0.26678,0.41196,0.57997,0.7258,0.80683,0.78738,0.68262,0.54379,0.4003,0.28403,0.20804,0.15701,0.12626,0.11116,0.10524,0.1087,0.11469,0.12773,0.1447,0.16721,0.19057,0.21529,0.24243,0.26543,0.28734,0.30658,0.31691,0.32004,0.31696,0.30209,0.28305,0.26075,0.23959,0.21374,0.18771,0.16285,0.13841,0.11802,0.098816,0.083503,0.072971,0.067825,0.06728,0.074818,0.089816,0.11768,0.16789,0.24491,0.36667,0.54528,0.78396,1.0906,1.4284,1.7554,1.9981,2.1039,2.0089,1.7602,1.4233,1.0704,0.75101,0.48806,0.29157,0.15929,0.082616,0.039536,0.017802,0.0075566,0.0030119,0.0011306,0.00041028,0.00013608,4.6938e-05,1.6133e-05,6.3984e-06,3.0055e-06,1.6699e-06,1.0718e-06,6.7134e-07,3.5637e-07,1.6359e-07,7.3552e-08,2.9973e-08,1.1587e-08,5.1139e-09,2.1371e-09,7.5752e-10,2.7055e-10,9.7967e-11,3.0067e-11,1.0224e-11,2.9454e-12
